"path","bytes","sha256","dataset","role","intentional_defect","lineage"
"basileuterus-culicivorus/soundscapes/W54431S25613_20191105_060000.wav",2879818,"cd0947af7cbfe2533322c97fe6978249bc064cdceeeffaf88bc87c9180e071a8","basileuterus-culicivorus","audio","","ORIGINAL"
"basileuterus-culicivorus/soundscapes/W54443S25620_20191105_054000.wav",2879818,"7462c2bc5b237b36fe121c834f227dc5c3167b1499cf7d62fda780c9b4ce8a4a","basileuterus-culicivorus","audio","","ORIGINAL"
"basileuterus-culicivorus/soundscapes/W54448S25622_20191101_073000.wav",2879818,"3fe4ab972f6f0a396c85f1f4731193c643f063872e3288a73b8139d0f2ee3519","basileuterus-culicivorus","audio","","ORIGINAL"
"basileuterus-culicivorus/soundscapes/W54448S25622_20191101_125000.wav",2879818,"01f330078c3b2ff6ecf2e9ec68d44697568a87d4e41e4ce674a8ba18540eed30","basileuterus-culicivorus","audio","","ORIGINAL"
"basileuterus-culicivorus/soundscapes/W54448S25622_20191102_070000.wav",2879818,"6331f4daa313681a573a8fa118c2bbec94f613fe3dece2bb58d4119e87bc5c9e","basileuterus-culicivorus","audio","","ORIGINAL"
"basileuterus-culicivorus/soundscapes/W54448S25622_20191103_055000.wav",2879818,"94626a304a4844d9d08ec632ac87df5609d55c90a150f73ec6f2b481c87862c4","basileuterus-culicivorus","audio","","ORIGINAL"
"basileuterus-culicivorus/soundscapes/W54448S25622_20191104_171000.wav",2879818,"8bae2fbdcf921be81c3b191a7a59a92e40dd4a2883a40e0b21bfd865b03d5324","basileuterus-culicivorus","audio","","ORIGINAL"
"basileuterus-culicivorus/soundscapes/W54448S25623_20191102_064000.wav",2879818,"f166a481699b193bfc17504ebc678b4402b6dd8cf15721165188038eb96bee80","basileuterus-culicivorus","audio","","ORIGINAL"
"README.md",3925,"ef0633ebb4a6e08a830118abb74770d3130393aa97708ee6909054924c6c7ff1","","doc","",""
"sm4/monitoraSom.proj",105,"98fce1a601525eaa1db340dea83aa32c587d749847ddf50785e1cca4b64a6407","sm4","audio","","EXPANDED"
"sm4/rois.duckdb",1323008,"508daaa63adbf6ce3432784907bbc56482d641a6dc550351b2f2913ab260adbc","sm4","rois","","EXPANDED"
"sm4/sm4.qmd",13694,"abc992845a9caf31461861af65597aa07125dc8fc44f36918ee037dd270e18dd","sm4","vignette","","EXPANDED"
"sm4/soundscapes/Data/W50940S22938_20240116_135000.wav",11522640,"d9a1aff2d13fba37549abf0018fa27f0587737267c770b62df3c417157393d12","sm4","audio","","EXPANDED"
