DATE,TIME,LAT,,LON,,POWER(V),TEMP(C),#FILES,MIC0 TYPE,MIC1 TYPE 
2024-Jan-17,00:51:00,-22.93806,s,50.84900,w,5.5,27.75,1,IN,IN 
2024-Jan-17,01:01:00,-22.93806,s,50.84900,w,5.5,27.75,1,IN,IN 
2024-Jan-17,01:11:00,-22.93806,s,50.84900,w,5.5,27.50,1,IN,IN 
2024-Jan-17,01:21:00,-22.93806,s,50.84900,w,5.5,27.50,1,IN,IN 
2024-Jan-17,01:31:00,-22.93806,s,50.84900,w,5.5,27.50,1,IN,IN 
2024-Jan-17,01:41:00,-22.93806,s,50.84900,w,5.5,27.50,1,IN,IN 
2024-Jan-17,01:51:00,-22.93806,s,50.84900,w,5.5,27.25,1,IN,IN 
2024-Jan-17,02:01:00,-22.93806,s,50.84900,w,5.5,27.25,1,IN,IN 
2024-Jan-17,02:11:00,-22.93806,s,50.84900,w,5.5,27.25,1,IN,IN 
2024-Jan-17,02:21:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-17,02:31:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-17,02:41:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-17,02:51:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-17,03:01:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-17,03:11:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-17,03:21:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-17,03:31:00,-22.93806,s,50.84900,w,5.5,26.50,1,IN,IN 
2024-Jan-17,03:41:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-17,03:51:00,-22.93806,s,50.84900,w,5.5,26.50,1,IN,IN 
2024-Jan-17,04:01:00,-22.93806,s,50.84900,w,5.5,26.50,1,IN,IN 
2024-Jan-17,04:11:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,04:21:00,-22.93806,s,50.84900,w,5.5,26.50,1,IN,IN 
2024-Jan-17,04:31:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,04:41:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,04:51:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,05:01:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,05:11:01,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,05:21:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,05:31:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,05:41:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,05:51:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,06:01:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,06:11:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,06:21:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,06:31:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,06:41:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,06:51:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,07:01:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-17,07:11:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,07:21:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,07:31:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-17,07:41:00,-22.93806,s,50.84900,w,5.5,26.50,1,IN,IN 
2024-Jan-17,07:51:00,-22.93806,s,50.84900,w,5.5,26.50,1,IN,IN 
2024-Jan-17,08:01:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-17,08:11:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-17,08:21:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-17,08:31:00,-22.93806,s,50.84900,w,5.5,27.25,1,IN,IN 
2024-Jan-17,08:41:00,-22.93806,s,50.84900,w,5.5,27.50,1,IN,IN 
2024-Jan-17,08:51:00,-22.93806,s,50.84900,w,5.5,27.75,1,IN,IN 
2024-Jan-17,09:01:00,-22.93806,s,50.84900,w,5.5,27.75,1,IN,IN 
2024-Jan-17,09:11:00,-22.93806,s,50.84900,w,5.5,28.00,1,IN,IN 
2024-Jan-17,09:21:00,-22.93806,s,50.84900,w,5.5,28.25,1,IN,IN 
2024-Jan-17,09:31:00,-22.93806,s,50.84900,w,5.5,28.50,1,IN,IN 
2024-Jan-17,09:41:00,-22.93806,s,50.84900,w,5.5,28.50,1,IN,IN 
2024-Jan-17,09:51:00,-22.93806,s,50.84900,w,5.5,28.75,1,IN,IN 
2024-Jan-17,10:01:00,-22.93806,s,50.84900,w,5.5,29.00,1,IN,IN 
2024-Jan-17,10:11:00,-22.93806,s,50.84900,w,5.5,29.25,1,IN,IN 
2024-Jan-17,10:21:00,-22.93806,s,50.84900,w,5.5,29.50,1,IN,IN 
2024-Jan-17,10:31:00,-22.93806,s,50.84900,w,5.5,29.75,1,IN,IN 
2024-Jan-17,10:41:00,-22.93806,s,50.84900,w,5.5,30.00,1,IN,IN 
2024-Jan-17,10:51:00,-22.93806,s,50.84900,w,5.5,30.50,1,IN,IN 
2024-Jan-17,11:01:00,-22.93806,s,50.84900,w,5.5,30.75,1,IN,IN 
2024-Jan-17,11:11:00,-22.93806,s,50.84900,w,5.5,31.00,1,IN,IN 
2024-Jan-17,11:21:00,-22.93806,s,50.84900,w,5.5,31.25,1,IN,IN 
